deputado;nome_urna;partido;numero;votos;total_votos_estado;percentual_estado;situacao
CARMELO SILVEIRA CARNEIRO LEÃO NETO;CARMELO NETO;PL;22022;118603;4722682;2.5113;ELEITO POR QP
EVANDRO SÁ BARRETO LEITÃO;EVANDRO LEITÃO;PDT;12000;113808;4722682;2.4098;ELEITO POR QP
MARTA MARIA DO SOCORRO LIMA BARROS GONÇALVES;MARTA GONÇALVES;PL;22555;112787;4722682;2.3882;ELEITO POR QP
FERNANDO MATOS SANTANA;FERNANDO SANTANA;PT;13222;111639;4722682;2.3639;ELEITO POR QP
SERGIO DE ARAÚJO LIMA AGUIAR;SERGIO AGUIAR;PDT;12888;97522;4722682;2.065;ELEITO POR QP
ROMEU ALDIGUERI DE ARRUDA COELHO;ROMEU ALDIGUERI;PDT;12456;90399;4722682;1.9141;ELEITO POR QP
JOSE JACOME CARNEIRO ALBUQUERQUE;ZEZINHO ALBUQUERQUE;PP;11111;85138;4722682;1.8027;ELEITO POR QP
SILVANA OLIVEIRA DE SOUSA;DRA SILVANA;PL;22777;83423;4722682;1.7664;ELEITO POR QP
GABRIELLA PEQUENO COSTA GOMES DE AGUIAR;GABRIELLA AGUIAR;PSD;55555;83128;4722682;1.7602;ELEITO POR QP
RENATO ROSENO DE OLIVEIRA;RENATO ROSENO;PSOL;50500;83062;4722682;1.7588;ELEITO POR QP
FRANCISCO CLAUDIO PINTO PINHO;CLÁUDIO PINHO;PDT;12123;82267;4722682;1.742;ELEITO POR QP
FRANCISCO OSMAR DIÓGENES BAQUIT;OSMAR BAQUIT;PDT;12222;79769;4722682;1.6891;ELEITO POR QP
ALCIDES FERNANDES DA SILVA;PR.ALCIDES FERNANDES;PL;22222;79207;4722682;1.6772;ELEITO POR QP
DAVID DE ALBUQUERQUE DURAND;DAVID DURAND;REPUBLICANOS;10123;78419;4722682;1.6605;ELEITO POR QP
GUILHERME SAMPAIO LANDIM;GUILHERME LANDIM;PDT;12114;76726;4722682;1.6246;ELEITO POR QP
JOÃO JAIME GOMES MARINHO DE ANDRADE;JOÃO JAIME;PP;11000;76053;4722682;1.6104;ELEITO POR QP
MARCOS MARCEL RODRIGUES SOBREIRA;MARCOS SOBREIRA;PDT;12333;72183;4722682;1.5284;ELEITO POR QP
JOSÉ JEOVÁ SOUTO MOTA;JEOVÁ MOTA;PDT;12444;68881;4722682;1.4585;ELEITO POR QP
AGENOR GOMES DE ARAUJO NETO;AGENOR NETO;MDB;15888;68289;4722682;1.446;ELEITO POR QP
ANTONIO HENRIQUE DA SILVA;ANTONIO HENRIQUE;PDT;12111;67148;4722682;1.4218;ELEITO POR QP
LIA FERREIRA GOMES;LIA GOMES;PDT;12345;67000;4722682;1.4187;ELEITO POR QP
FRANCISCO JOSE QUEIROZ MAIA FILHO;QUEIROZ FILHO;PDT;12300;64374;4722682;1.3631;ELEITO POR QP
DANNIEL LOPES DE OLIVEIRA SOUSA;DANNIEL OLIVEIRA;MDB;15333;63463;4722682;1.3438;ELEITO POR QP
FRANCISCO DE ASSIS DINIZ;DE ASSIS DINIZ;PT;13456;63253;4722682;1.3393;ELEITO POR QP
MOISES BRAZ RICARDO;MOISES BRAZ;PT;13333;63149;4722682;1.3371;ELEITO POR QP
ORIEL GUIMARAES NUNES FILHO;ORIEL FILHO;PDT;12555;60642;4722682;1.2841;ELEITO POR MÉDIA
JOSÉ FIRMO CAMURÇA NETO;FIRMO CAMURÇA;UNIÃO;44777;57836;4722682;1.2246;ELEITO POR QP
JOÃO SALMITO FILHO;SALMITO;PDT;12500;56624;4722682;1.199;ELEITO POR MÉDIA
LEONARDO FRANKLIN NOGUEIRA PINHEIRO;LEONARDO PINHEIRO;PP;11444;56059;4722682;1.187;ELEITO POR MÉDIA
ANTONIO ALYSSON DE AGUIAR PAULA;ALYSSON AGUIAR;PC do B;65700;55449;4722682;1.1741;ELEITO POR QP
DAVID NEY GONÇALVES DE MACÊDO;DAVI DE RAIMUNDÃO;MDB;15222;55112;4722682;1.167;ELEITO POR QP
OSCAR SPINDOLA RODRIGUES JUNIOR;DR. OSCAR RODRIGUES;UNIÃO;44888;54066;4722682;1.1448;ELEITO POR QP
LUCÍLVIO GIRÃO SALES;DR. LUCÍLVIO GIRÃO;PSD;55234;52368;4722682;1.1089;ELEITO POR QP
LUANA RÉGIA DE FREITAS LIMA;LUANA RIBEIRO;CIDADANIA;23123;51548;4722682;1.0915;ELEITO POR QP
JOSEFA MEDEIROS FARIAS;JÔ FARIAS;PT;13258;47816;4722682;1.0125;ELEITO POR QP
JULIO CESAR COSTA LIMA JUNIOR;JULINHO;PT;13789;46082;4722682;0.9758;ELEITO POR QP
JULIANA DE HOLANDA LUCENA RODRIGUES;JULIANA LUCENA;PT;13555;45474;4722682;0.9629;ELEITO POR QP
MANOEL MISSIAS BEZERRA;MISSIAS DO MST;PT;13123;44853;4722682;0.9497;ELEITO POR QP
REGINAURO SOUSA NASCIMENTO;SARGENTO REGINAURO;UNIÃO;44190;41635;4722682;0.8816;ELEITO POR QP
LARISSA MARIA FERNANDES GASPAR DA COSTA;LARISSA GASPAR;PT;13133;37887;4722682;0.8022;ELEITO POR MÉDIA
FELIPE AGUIAR FONSECA DA MOTA;FELIPE MOTA;UNIÃO;44111;36949;4722682;0.7824;ELEITO POR MÉDIA
FERNANDO HUGO DA SILVA COLARES;DEP FERNANDO HUGO - DR HUGO;PSD;55678;36880;4722682;0.7809;ELEITO POR QP
LUIZ HENRIQUE CASTELO LIMA;APÓSTOLO LUIZ HENRIQUE;REPUBLICANOS;10000;35149;4722682;0.7443;ELEITO POR MÉDIA
MARIA EMILIA PESSOA DE LIMA CARNEIRO;EMILIA PESSOA;PSDB;45123;33275;4722682;0.7046;ELEITO POR QP
LUCINILDO DA FROTA BRITO;LUCINILDO FROTA;PMN;33789;21751;4722682;0.4606;ELEITO POR QP
STUART CASTRO FARIAS LIMA;STUART CASTRO;AVANTE;70222;17243;4722682;0.3651;ELEITO POR QP
