municipio;prefeito;nome_urna;partido;numero;votos;total_votos_municipio;percentual_municipio;situacao;turno
Abaiara;Angelo Furtado Sampaio;Angim;PT;13;3429;6579;52.1204;ELEITO;1
Acarape;Francisco Edilberto Beserra Barroso;Edilberto Beserra;PSB;40;7153;11074;64.5927;ELEITO;1
Acaraú;Ana Flávia Ribeiro Monteiro;Ana Flávia;PSB;40;26903;40535;66.3698;ELEITO;1
Acopiara;Francisco Vilmar Felix Martins;Dr Vilmar;PSB;40;18009;32778;54.9423;ELEITO;1
Aiuaba;Jose Moraes Feitosa;Neto Feitosa;PT;13;5175;9443;54.8025;ELEITO;1
Alcântaras;Charlyne Cunha Freire;Charlyne de Alcantaras;PSB;40;5434;8255;65.8268;ELEITO;1
Altaneira;Ana Kesia de Alcantara Soares;Kesia;PSB;40;3255;6163;52.8152;ELEITO;1
Alto Santo;Jose Joeni Holanda de Araujo;Joeni;PP;11;8572;10476;81.8251;ELEITO;1
Amontada;Flavio Cesar Bruno Teixeira Filho;Flávio Filho;PT;13;19876;29961;66.3396;ELEITO;1
Antonina do Norte;Antonio Roseno Filho;Antonio Filho;PDT;12;4619;5613;82.2911;ELEITO;1
Apuiarés;Anaracy Pinto Pinho Rufino;Ana Rufino;PSB;40;6832;11136;61.3506;ELEITO;1
Aquiraz;Bruno Barros Gonçalves;Dr Bruno Gonçalves;PRD;25;48113;56085;85.7859;ELEITO;1
Aracati;Roberta Cardoso Barbosa de Almeida;Roberta de Bismarck;PODE;20;26825;46893;57.2047;ELEITO;1
Aracoiaba;Wellington Silva de Oliveira;Edim;PP;11;10946;21596;50.6853;ELEITO;1
Ararendá;Aristeu Alves Eduardo;Aristeu Eduardo;PT;13;5870;7584;77.3998;ELEITO;1
Araripe;Jose Paulino Pereira;Ze Gordinho;PT;13;7146;14059;50.8287;ELEITO;1
Aratuba;Joerly Rodrigues Victor;Joerly Victor;REPUBLICANOS;10;6987;10737;65.074;ELEITO;1
Arneiroz;Antonio Monteiro Pedrosa Filho;Monteiro Filho;REPUBLICANOS;10;4159;5938;70.0404;ELEITO;1
Assaré;José Libório Leite Neto;Liborio;PSB;40;12289;14746;83.3379;ELEITO;1
Aurora;Marcone Tavares de Luna;Marcone Tavares;PT;13;8834;16685;52.9458;ELEITO;1
Baixio;Lucio Alves Barroso;Lucio Barroso;REPUBLICANOS;10;2542;4916;51.7087;ELEITO;1
Banabuiú;Francisco Marcílio Coelho Brito;Marcilio Coelho;PSB;40;7583;13550;55.9631;ELEITO;1
Barbalha;Guilherme Sampaio Saraiva;Guilherme Saraiva;PT;13;23970;41190;58.1937;ELEITO;1
Barreira;Marcio Gley Nascimento Silva;Chaveirinho;PSB;40;7994;16805;47.5692;ELEITO;1
Barro;Hericles George Feitosa Albuquerque;Dr George;MDB;15;8259;12835;64.3475;ELEITO;1
Barroquinha;Jaime Veras Silva Filho;Jaime Veras;PSD;55;6404;12742;50.259;ELEITO;1
Baturité;Hérberlh Freitas Reis Cavalcante Mota;Hérberlh Mota;REPUBLICANOS;10;18058;22708;79.5226;ELEITO;1
Beberibe;Michele Cariello de Sá Queiroz Rocha;Michele Queiroz;PP;11;24000;39441;60.8504;ELEITO;1
Bela Cruz;Jose Otacilio de Morais Neto;Netim Morais;PSB;40;12487;17683;70.6158;ELEITO;1
Boa Viagem;Jose Carneiro Dantas Filho;Regis Carneiro;PSB;40;30609;33851;90.4227;ELEITO;1
Brejo Santo;Maria Gislaine Santana Sampaio Landim;Gislaine Landim;PSB;40;18324;28059;65.3052;ELEITO;1
Camocim;Maria Elizabete Magalhães;Betinha;PSB;40;22021;40552;54.3031;ELEITO;1
Campos Sales;Moesio Loiola de Melo;Moesio Loiola;PSB;40;8572;16463;52.0683;ELEITO;1
Canindé;Francisco Jardel Sousa Pinho;Professor Jardel;PSB;40;27388;48519;56.448;ELEITO;1
Capistrano;Claudio Bezerra Saraiva;Claudio Saraiva;PSB;40;6769;13802;49.0436;ELEITO;1
Caridade;Maria Simone Fernandes Tavares;Simone Tavares;PSB;40;8540;14652;58.2856;ELEITO;1
Caririaçu;Luiz Acacio Machado Leite;Acacio Leite;PT;13;10778;20440;52.7299;ELEITO;1
Cariré;Antonio Rufino Martins;Antonio Martins;PDT;12;9502;12722;74.6895;ELEITO;1
Cariús;Antônio Wilamar Palacio de Oliveira;Wilamar Palacio;PT;13;7433;13490;55.1001;ELEITO;1
Carnaubal;Jose Weliton Souza Leite;Zé Weliton;PT;13;6387;11359;56.2285;ELEITO;1
Cascavel;Ana Afif Mateus Sarquis Queiroz;Ana Afif Queiroz;PP;11;26925;49302;54.6124;ELEITO;1
Catarina;Renan Barros Guedes;Dr Renan;MDB;15;4996;8718;57.3067;ELEITO;1
Catunda;Douglas Rodrigues Negreiros;Douglas Negreiros;PSB;40;5210;8255;63.1133;ELEITO;1
Caucaia;Naumi Gomes de Amorim;Naumi Amorim;PSD;55;109835;181849;60.399;ELEITO;2
